Category,Fund / Function,Account,2025 Adopted,2026 Adopted,Change,Rebalance View
Potentially overspent / overbuilt,A01 Police 3120,Police holiday pay union,752400.00,943000.00,190600.00,"Very large jump. Hold the line with schedule management and monthly reporting before assuming this becomes the new permanent baseline."
Potentially overspent / overbuilt,A01 Police 3120,Police health insurance buy back,388666.00,500729.00,112063.00,"Good candidate for active audit and monitoring. If participation eases, capture savings rather than baking the higher number in permanently."
Potentially overspent / overbuilt,A01 Police 3120,Police R&M vehicles,275000.00,300000.00,25000.00,"Reasonable pressure, but fleet age and repair history should justify it. Tie this to a fleet replacement plan."
Potentially overspent / overbuilt,A01 Town Hall 1620,Peconic Hockey electricity,0.00,167742.00,167742.00,"New major utility burden. Isolate and review for recovery or energy-offset opportunities."
Potentially overspent / overbuilt,A01 Finance 1310,Professional services - other,147000.00,159300.00,12300.00,"Not huge, but recurring consultant creep is where tighter procurement discipline can help."
Potentially overspent / overbuilt,A01 Tax Collection 1330,Postage,1500.00,13500.00,12000.00,"Sharp increase. Test whether billing or process changes could trim this back."
Potentially overspent / overbuilt,A01 Community Development 8686,Special events,0.00,43200.00,43200.00,"New programmatic cost. If retained, it should be justified against measurable downtown or community outcomes."
Potentially overspent / overbuilt,DA1 Highway 5142,Snow contractual,174000.00,225000.00,51000.00,"Understandable weather hedge, but monitor against actual snowfall rather than normalize upward immediately."
Potentially overspent / overbuilt,ES1 Sewer 8130,Waste disposal,490000.00,585700.00,95700.00,"Major growth. Good place for operational review, vendor benchmarking, and solids-handling efficiency work."
Potentially overspent / overbuilt,ES5 Scavenger Waste 8189,Waste disposal,490000.00,677100.00,187100.00,"One of the largest single operating jumps. Strong candidate for disposal-contract review and process efficiencies."
Potentially overspent / overbuilt,EW1 Water 8320,Professional services - consultants,150000.00,175000.00,25000.00,"Keep if tied to specific capital or compliance work, otherwise treat as a controlled project account."
Potentially overspent / overbuilt,EW1 Water 8320,Lab fees,150000.00,165000.00,15000.00,"Probably justified operationally, but it belongs on the watch list because it is large and recurring."
Potentially underspent / underbuilt,A01 Building 3620,Equipment,3750.00,0.00,-3750.00,"Thin support for an inspection-heavy department. Some equipment and field-tech refresh should come back in."
Potentially underspent / underbuilt,A01 Building 3620,Cell phones / communications,1800.00,2300.00,500.00,"Still modest relative to field inspection workload. This looks manageable, but not overbuilt."
Potentially underspent / underbuilt,A01 Code Enforcement 3625,Equipment,10500.00,10500.00,0.00,"Flat funding despite pressure to strengthen enforcement. Likely adequate only if paired with the separate vehicle plan and staffing support."
Potentially underspent / underbuilt,A01 Buildings & Grounds 1625,Vehicles,132000.00,55000.00,-77000.00,"This drop suggests deferred fleet replacement. If the service fleet is aging, this may be too low."
Potentially underspent / underbuilt,A01 Buildings & Grounds 1625,Road resurfacing & patching,25000.00,12500.00,-12500.00,"A visible cut to upkeep. Reasonable candidate to restore if facilities or grounds complaints are rising."
Potentially underspent / underbuilt,A01 Parks 7110,Supplies,7500.00,12000.00,4500.00,"Still a small total for systemwide park upkeep. May be lean if the Town expects higher field and park standards."
Potentially underspent / underbuilt,A01 Programs for the Aging 6772,Vehicles,0.00,0.00,0.00,"The budget shows no adopted vehicle purchase after it was requested. For a transportation-heavy senior program, this looks underbuilt for long-term resilience."
Potentially underspent / underbuilt,ES1 Sewer 8130,Lab supplies,0.00,11800.00,11800.00,"New but probably appropriate. This is the kind of account that often was previously too lean rather than too large."
Potentially underspent / underbuilt,ES3 Calverton Sewer 8130,Equipment R&M,0.00,10000.00,10000.00,"Likely a correction of prior underbudgeting rather than overspending."
